ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
midd1321,Middle Dutch,,51.656,5.34,midd1321,,4,1.3862943611198906
dava1250,Davani,,,,dava1250,,5,1.6094379124341003
olds1249,Old Spanish,,41.5,-3.9,olds1249,,200,5.298317366548036
buli1256,Buli,,,,buli1256,,31,3.4339872044851463
hoav1238,Hoava,,-8.19679,157.595,hoav1238,,2,0.6931471805599453
suri1272,Ndyuka,,,,suri1272,,1,0.0
kaya1319,Kayardild,,-17.0695,139.489,kaya1319,,6,1.791759469228055
koko1269,Kokota,,-8.16481,159.191,koko1269,,6,1.791759469228055
kwai1243,Kwaio,,-8.93744,160.965,kwai1243,,1,0.0
benc1235,Bench,,7.04682,35.7673,benc1235,,6,1.791759469228055
kuli1255,Kulina Pano,,-6.17715,-72.0438,kuli1255,,2,0.6931471805599453
sion1247,Siona-Tetete,,0.31733,-76.0237,sion1247,,1,0.0
avar1256,Avar,,41.7047,46.558,avar1256,,24,3.1780538303479458
arch1244,Archi,,42.3239,46.8267,arch1244,,3,1.0986122886681098
tzel1254,Tzeltal,,16.6384,-92.2786,tzel1254,,6,1.791759469228055
tzot1259,Tzotzil,,16.6362,-92.7388,tzot1259,,23,3.1354942159291497
okan1243,Okanagan,,49.2745,-119.294,okan1243,,5,1.6094379124341003
spok1245,Spokane,,47.9087,-118.062,spok1245,,3,1.0986122886681098
colu1241,Columbia-Wenatchi,,48.217,-118.454,colu1241,,3,1.0986122886681098
mose1249,Mosetén-Chimané,,-14.64448,-67.83756,mose1249,,17,2.833213344056216
shus1248,Shuswap,,50.8734,-119.667,shus1248,,2,0.6931471805599453
thom1243,Thompson,,50.1668,-120.193,thom1243,,1,0.0
tequ1244,Tequistlatecan,,,,tequ1244,,1,0.0
chur1257,Church Slavic,,43.7171,22.8442,chur1257,,16,2.772588722239781
yupi1267,Yupik,,,,yupi1267,,21,3.044522437723423
lati1261,Latin,,41.9026,12.4502,lati1261,,44,3.784189633918261
teiw1235,Teiwa,,-8.37662,124.174,teiw1235,,225,5.41610040220442
nant1250,Nanti,,-12.1018,-72.3507,nant1250,,2,0.6931471805599453
beng1286,Beng,,7.78122,-4.23539,beng1286,,1,0.0
mara1378,Marathi,,17.9344,76.6665,mara1378,,79,4.3694478524670215
mong1331,Mongolian,,,,mong1331,,50,3.912023005428146
niue1239,Niuean,,-19.06,-169.86,niue1239,,6,1.791759469228055
fong1242,Fong,,,,fong1242,,1,0.0
mani1292,Manipuri,,24.4409,93.3426,mani1292,,4,1.3862943611198906
barg1250,Barguzin,,,,barg1250,,67,4.204692619390966
nucl1347,Wolof,,15.2534,-15.383,nucl1347,,74,4.30406509320417
sinh1246,Sinhala,,8.0,81.0,sinh1246,,4,1.3862943611198906
friu1240,Friulian,,46.1473,13.0493,friu1240,,16,2.772588722239781
yuca1254,Yucatec Maya,,18.7757,-88.9567,yuca1254,,110,4.700480365792417
hitt1242,Hittite,,40.0,35.0,hitt1242,,45,3.8066624897703196
nort2690,Northern Uzbek,,40.886,69.211,nort2690,,105,4.653960350157523
tima1241,Tima,,11.7176,29.1632,tima1241,,42,3.7376696182833684
alba1267,Albanian,,,,alba1267,,36,3.58351893845611
lako1247,Lakota,,46.3699,-103.95,lako1247,,33,3.4965075614664802
sici1248,Sicilian,,37.5735,14.0414,sici1248,,7,1.9459101490553132
nons1235,Central Catalan,,,,nons1235,,2,0.6931471805599453
mexi1248,Mexican Spanish,,,,mexi1248,,6,1.791759469228055
luxe1241,Moselle Franconian,,49.6839,6.14931,luxe1241,,7,1.9459101490553132
rhin1244,Rhenish Franconian,,,,rhin1244,,11,2.3978952727983707
penn1240,Pennsylvania German,,40.030507,-76.3211,penn1240,,4,1.3862943611198906
afri1274,Afrikaans,,-22.0,30.0,afri1274,,40,3.6888794541139363
east2295,Eastern Yiddish,,51.75,19.42,east2295,,26,3.258096538021482
atin1240,Atina-Pazar,,,,atin1240,,74,4.30406509320417
chuk1273,Chukchi,,68.6436,170.045,chuk1273,,27,3.295836866004329
sout2961,Southern Tiwa,,34.7873,-106.661,sout2961,,2,0.6931471805599453
stin1234,Bahasa Indonesia,,,,stin1234,,9,2.1972245773362196
mari1278,Mari,,,,mari1278,,1,0.0
hopi1249,Hopi,,35.7653,-110.535,hopi1249,,1,0.0
motl1237,Mwotlap,,-13.655015,167.706277,motl1237,,5,1.6094379124341003
bisl1239,Bislama,,-15.4,166.89,bisl1239,,5,1.6094379124341003
some1244,Some,,,,some1244,,1,0.0
guja1252,Gujarati,,22.687,71.0962,guja1252,,9,2.1972245773362196
deni1241,Deni,,-6.74962,-67.5029,deni1241,,2,0.6931471805599453
samo1305,Samoan,,-13.92,-171.83,samo1305,,14,2.6390573296152584
toke1240,Tokelau,,-9.227642,-171.780833,toke1240,,21,3.044522437723423
nama1264,Nama (Namibia),,-25.0747,17.9767,nama1264,,73,4.290459441148391
aghe1239,Aghem,,6.38956,10.0807,aghe1239,,11,2.3978952727983707
huay1240,Huaylas Ancash Quechua,,-9.38709,-77.7768,huay1240,,6,1.791759469228055
shiw1234,Shiwa,,-0.091645,11.947061,shiw1234,,2,0.6931471805599453
yang1286,Yang Zhuang,,23.091864,106.393188,yang1286,,1,0.0
kaza1248,Kazakh,,51.17,71.454,kaza1248,,14,2.6390573296152584
stan1318,Standard Arabic,,27.9625,43.8525,stan1318,,7,1.9459101490553132
fior1235,Fiorentino,,,,fior1235,,4,1.3862943611198906
dann1241,Dan,,7.22812,-8.24535,dann1241,,56,4.02535169073515
turo1239,Turoyo,,37.2275,42.1451,turo1239,,44,3.784189633918261
hebr1245,Modern Hebrew,,31.1056,35.0179,hebr1245,,85,4.442651256490317
russ1264,Russia Buriat,,50.85331,105.5637,russ1264,,61,4.110873864173311
daww1239,Dâw,,-0.1177,-67.2934,daww1239,,21,3.044522437723423
ticu1245,Ticuna,,-3.66289,-69.8723,ticu1245,,21,3.044522437723423
eder1237,Edera Awyu,,-7.0038,139.914,eder1237,,1,0.0
warl1254,Warlpiri,,-20.1008,131.05,warl1254,,6,1.791759469228055
domi1242,Dominican Spanish,,,,domi1242,,1,0.0
fris1239,Frisian,,,,fris1239,,15,2.70805020110221
otta1242,Ottawa,,44.5988,-83.226,otta1242,,6,1.791759469228055
mesk1242,Meskwaki,,44.0,-89.0,mesk1242,,5,1.6094379124341003
chip1241,Chippewa,,47.347,-94.2738,chip1241,,2,0.6931471805599453
minn1241,Min Nan Chinese,,24.5,118.17,minn1241,,5,1.6094379124341003
lele1276,Lele (Chad),,9.158,15.81149,lele1276,,2,0.6931471805599453
oldf1239,Old French (842-ca. 1400),,48.8,1.11,oldf1239,,20,2.995732273553991
piem1238,Piemontese,,45.4633,8.32366,piem1238,,1,0.0
midd1316,Middle French,,,,midd1316,,10,2.302585092994046
pite1240,Pite Saami,,66.4011,17.4261,pite1240,,324,5.780743515792329
chec1245,Chechen,,43.5,45.5,chec1245,,3,1.0986122886681098
oira1263,Oirata,,-8.09044,127.201,oira1263,,5,1.6094379124341003
mang1381,Mangarrayi,,-14.8,133.5,mang1381,,9,2.1972245773362196
mull1237,Mullukmulluk,,-13.427,130.664,mull1237,,2,0.6931471805599453
wapp1239,Wappo,,38.25,-122.5,wapp1239,,24,3.1780538303479458
ipai1240,Ipai,,33.005,-116.993,ipai1240,,1,0.0
tenn1246,Tennet,,4.91107,32.6307,tenn1246,,17,2.833213344056216
vall1252,Valley Maidu,,39.8078,-121.191,vall1252,,6,1.791759469228055
savo1255,Savosavo,,-9.12853,159.814,savo1255,,25,3.2188758248682006
moha1256,Mohave,,34.8866,-114.599,moha1256,,25,3.2188758248682006
mari1440,Maricopa,,33.5123,-111.749,mari1440,,6,1.791759469228055
wala1270,Walapai,,,,wala1270,,4,1.3862943611198906
hava1249,Havasupai,,,,hava1249,,7,1.9459101490553132
bora1271,Borana-Arsi-Guji Oromo,,1.05676,37.882,bora1271,,12,2.4849066497880004
east2652,Eastern Oromo,,8.67428,41.4395,east2652,,15,2.70805020110221
gamo1243,Gamo,,6.27645,37.23808,gamo1243,,13,2.5649493574615367
alab1254,Alaba-K'abeena,,7.39014,38.1732,alab1254,,16,2.772588722239781
zays1236,Zayse,,,,zays1236,,3,1.0986122886681098
wola1242,Wolaytta,,6.32668,37.7537,wola1242,,13,2.5649493574615367
arbo1245,Arbore,,4.92183,36.7986,arbo1245,,12,2.4849066497880004
murl1244,Murle,,6.69756,33.988,murl1244,,10,2.302585092994046
maaa1253,Maa,,11.5205,107.339,maaa1253,,14,2.6390573296152584
nand1266,Nandi,,0.793737,35.408478,nand1266,,12,2.4849066497880004
turk1308,Turkana,,4.30688,35.7101,turk1308,,27,3.295836866004329
dato1239,Barabayiiga-Gisamjanga,,-4.4131,35.2321,dato1239,,8,2.0794415416798357
ajie1238,Ajië,,-21.3029,165.468,ajie1238,,16,2.772588722239781
yava1252,Yavapai,,,,yava1252,,10,2.302585092994046
wask1241,Waskia,,-4.57978,145.979,wask1241,,7,1.9459101490553132
kaki1249,Kaki Ae,,-7.9946,145.816,kaki1249,,1,0.0
yawu1244,Yawuru,,-18.004,122.693,yawu1244,,2,0.6931471805599453
naba1256,Nabak,,-6.42709,146.966,naba1256,,6,1.791759469228055
eipo1242,Eipomek,,-4.33691,140.045,eipo1242,,2,0.6931471805599453
coco1261,Cocopa,,32.376,-114.848,coco1261,,5,1.6094379124341003
pari1256,Päri,,5.09472,32.4822,pari1256,,2,0.6931471805599453
kild1236,Kildin Saami,,68.2158,35.8348,kild1236,,14,2.6390573296152584
komi1268,Komi-Zyrian,,64.0527,54.946,komi1268,,2,0.6931471805599453
kalm1244,Kalmyk,,,,kalm1244,,6,1.791759469228055
lowe1385,Lower Sorbian,,51.6621,13.9407,lowe1385,,3,1.0986122886681098
oroc1248,Oroch,,50.32354,137.85131,oroc1248,,7,1.9459101490553132
sali1295,Saliba,,-10.6148,150.727,sali1295,,4,1.3862943611198906
